name,type,start_time,duration,"value"
"SMBus","v1frame",6.0391255,0.0000045,""
"SMBus","v1frame",6.039141,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.039746125,0.00063975,"Command \x9B"
"SMBus","v1frame",6.04048325,0.00066575,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.041149,0.000656875,"Byte count \x10"
"SMBus","v1frame",6.041805875,0.000623375,"Byte 5 ACK"
"SMBus","v1frame",6.04242925,0.000618875,"Byte 1 ACK"
"SMBus","v1frame",6.043048125,0.000618625,"Byte 2 ACK"
"SMBus","v1frame",6.04366675,0.000622875,"Byte 0 ACK"
"SMBus","v1frame",6.044289625,0.000614,"Byte 1 ACK"
"SMBus","v1frame",6.044903625,0.0006225,"Byte 9 ACK"
"SMBus","v1frame",6.045526125,0.000622125,"Byte 9 ACK"
"SMBus","v1frame",6.04614825,0.00061375,"Byte A ACK"
"SMBus","v1frame",6.046762,0.000573125,"Byte 1 ACK"
"SMBus","v1frame",6.047335125,0.0006135,"Byte 2 ACK"
"SMBus","v1frame",6.047948625,0.00062275,"Byte t ACK"
"SMBus","v1frame",6.048571375,0.0006265,"Byte   ACK"
"SMBus","v1frame",6.049197875,0.000614,"Byte   ACK"
"SMBus","v1frame",6.049811875,0.00062275,"Byte   ACK"
"SMBus","v1frame",6.050434625,0.00061825,"Byte   ACK"
"SMBus","v1frame",6.051052875,0.000631375,"Byte   ACK"
"SMBus","v1frame",6.05168425,0.000600875,"PEC \xD6 OK"
"SMBus","v1frame",6.05232075,0.00005025,""
"SMBus","v1frame",6.052912,0.0000045,""
"SMBus","v1frame",6.0529275,0.000613875,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.053541375,0.0006315,"Command \xA1"
"SMBus","v1frame",6.0542695,0.0006395,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.054909,0.000633,"Byte count \x04"
"SMBus","v1frame",6.055542,0.00062225,"Byte \0 ACK"
"SMBus","v1frame",6.05616425,0.000613375,"Byte \0 ACK"
"SMBus","v1frame",6.056777625,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",6.057400375,0.000613625,"Byte \0 ACK"
"SMBus","v1frame",6.058014,0.000613875,"PEC g OK"
"SMBus","v1frame",6.0586635,0.00005025,""
"SMBus","v1frame",6.05924725,0.0000045,""
"SMBus","v1frame",6.05926275,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.059867875,0.000635375,"Command \xA3"
"SMBus","v1frame",6.060600875,0.000648625,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.0612495,0.000624,"Byte count \x04"
"SMBus","v1frame",6.0618735,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",6.06249625,0.000622625,"Byte \0 ACK"
"SMBus","v1frame",6.063118875,0.000613875,"Byte \x02 ACK"
"SMBus","v1frame",6.06373275,0.000622875,"Byte @ ACK"
"SMBus","v1frame",6.064355625,0.000605375,"PEC 3 OK"
"SMBus","v1frame",6.064996625,0.0000505,""
"SMBus","v1frame",6.065492375,0.0000045,""
"SMBus","v1frame",6.065507875,0.000614125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.066122,0.000622375,"Command \xA4"
"SMBus","v1frame",6.066841125,0.000640125,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",6.06748125,0.000605125,"Byte count \x04"
"SMBus","v1frame",6.068086375,0.000614125,"Byte \xFF ACK"
"SMBus","v1frame",6.0687005,0.000626125,"Byte \xFF ACK"
"SMBus","v1frame",6.069326625,0.00061325,"Byte \xFF ACK"
"SMBus","v1frame",6.069939875,0.0006095,"Byte \xFA ACK"
"SMBus","v1frame",6.070549375,0.000614,"PEC \x08 OK"
"SMBus","v1frame",6.071198875,0.00005025,""
"SMBus","v1frame",9.741538875,0.000605375,"Write address \x0B ACK"
"SMBus","v1frame",9.74214425,0.000641875,"Byte \xD1 ACK"
"SMBus","v1frame",9.74281075,0.00059825,"Byte \x04 ACK"
"SMBus","v1frame",9.743443125,0.0005945,"Byte \0 ACK"
"SMBus","v1frame",9.744062125,0.000603625,"Byte \0 ACK"
"SMBus","v1frame",9.744690125,0.000594625,"Byte \0 ACK"
"SMBus","v1frame",9.745310125,0.000606875,"Byte \x01 ACK"
"SMBus","v1frame",9.745917,0.000638,"PEC \xBA OK"
"SMBus","v1frame",9.851599125,0.0000045,""
"SMBus","v1frame",9.8516145,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",9.852219625,0.0006315,"Command \xA4"
"SMBus","v1frame",9.852947875,0.000638,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",9.853585875,0.000584875,"Byte count \x04"
"SMBus","v1frame",9.85417075,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",9.854793625,0.0006185,"Byte \0 ACK"
"SMBus","v1frame",9.855412125,0.000618375,"Byte \0 ACK"
"SMBus","v1frame",9.8560305,0.00063625,"Byte \x0C ACK"
"SMBus","v1frame",9.85666675,0.000591625,"PEC \xE9 OK"
"SMBus","v1frame",9.857294,0.0000505,""
"SMBus","v1frame",9.857475125,0.0000045,""
"SMBus","v1frame",9.8574905,0.000605,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",9.858112875,0.00062125,"Command z"
"SMBus","v1frame",9.858831125,0.000637125,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",9.85946825,0.001209,"Word \0 ACK"
"SMBus","v1frame",9.86067725,0.00060525,"PEC c OK"
"SMBus","v1frame",9.861318125,0.0000505,""
"SMBus","v1frame",10.0616265,0.0000045,""
"SMBus","v1frame",10.061642,0.00060525,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.06224725,0.000631375,"Command \xA4"
"SMBus","v1frame",10.062975125,0.000637625,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.06361275,0.000585375,"Byte count \x04"
"SMBus","v1frame",10.064198125,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",10.064821,0.000618375,"Byte \0 ACK"
"SMBus","v1frame",10.065439375,0.000618625,"Byte \0 ACK"
"SMBus","v1frame",10.066058,0.000623125,"Byte T ACK"
"SMBus","v1frame",10.066681125,0.000605125,"PEC f OK"
"SMBus","v1frame",10.067322,0.00005075,""
"SMBus","v1frame",10.0675035,0.0000045,""
"SMBus","v1frame",10.067519,0.000605375,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.06814125,0.000621375,"Command z"
"SMBus","v1frame",10.068859625,0.000637,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.069496625,0.001209,"Word \0 ACK"
"SMBus","v1frame",10.070705625,0.0006055,"PEC c OK"
"SMBus","v1frame",10.07134675,0.00005025,""
"SMBus","v1frame",10.27164725,0.0000045,""
"SMBus","v1frame",10.27166275,0.0006055,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.27226825,0.000631125,"Command \xA4"
"SMBus","v1frame",10.272995875,0.00063775,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.273633625,0.000585375,"Byte count \x04"
"SMBus","v1frame",10.274219,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",10.27484175,0.0006185,"Byte \0 ACK"
"SMBus","v1frame",10.27546025,0.00063225,"Byte \0 ACK"
"SMBus","v1frame",10.2760925,0.000621875,"Byte \xAC ACK"
"SMBus","v1frame",10.276714375,0.0005915,"PEC \x80 OK"
"SMBus","v1frame",10.2773415,0.00005075,""
"SMBus","v1frame",10.277522625,0.0000045,""
"SMBus","v1frame",10.277538125,0.000605375,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.278160375,0.00062125,"Command z"
"SMBus","v1frame",10.278878625,0.00063725,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.279515875,0.001208875,"Word \0 ACK"
"SMBus","v1frame",10.28072475,0.00060525,"PEC c OK"
"SMBus","v1frame",10.281365625,0.00005075,""
"SMBus","v1frame",10.4817465,0.0000045,""
"SMBus","v1frame",10.481762,0.000605125,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.482367125,0.0006315,"Command \xA4"
"SMBus","v1frame",10.483095125,0.00063775,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.483732875,0.000585375,"Byte count \x04"
"SMBus","v1frame",10.48431825,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",10.484941,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",10.485563875,0.000613875,"Byte \x01 ACK"
"SMBus","v1frame",10.48617775,0.00063675,"Byte \x15 ACK"
"SMBus","v1frame",10.4868145,0.000591625,"PEC \xB3 OK"
"SMBus","v1frame",10.48744625,0.00005925,""
"SMBus","v1frame",10.48762325,0.0000045,""
"SMBus","v1frame",10.487638625,0.000605375,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.488261,0.000621375,"Command z"
"SMBus","v1frame",10.488979375,0.000637125,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.4896165,0.001222,"Word @ ACK"
"SMBus","v1frame",10.4908385,0.000591375,"PEC \xA4 OK"
"SMBus","v1frame",10.491471875,0.0000635,""
"SMBus","v1frame",10.6916675,0.0000045,""
"SMBus","v1frame",10.691683,0.000605375,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.692288375,0.000631375,"Command \xA4"
"SMBus","v1frame",10.693016375,0.0006375,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.693653875,0.000585375,"Byte count \x04"
"SMBus","v1frame",10.69423925,0.000573125,"Byte \0 ACK"
"SMBus","v1frame",10.694812375,0.000614,"Byte \0 ACK"
"SMBus","v1frame",10.695426375,0.000657,"Byte \x01 ACK"
"SMBus","v1frame",10.696083375,0.000588625,"Byte \x81 ACK"
"SMBus","v1frame",10.696672,0.000605,"PEC V OK"
"SMBus","v1frame",10.69731275,0.00005075,""
"SMBus","v1frame",10.697493375,0.0000045,""
"SMBus","v1frame",10.69750875,0.0006055,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.698131125,0.000621375,"Command z"
"SMBus","v1frame",10.6988495,0.000628125,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.699477625,0.001231125,"Word @ ACK"
"SMBus","v1frame",10.70070875,0.00059125,"PEC \xA4 OK"
"SMBus","v1frame",10.701335875,0.00005075,""
"SMBus","v1frame",10.901642,0.0000045,""
"SMBus","v1frame",10.9016575,0.00060525,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.90226275,0.0006315,"Command \xA4"
"SMBus","v1frame",10.90299075,0.0006375,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",10.90362825,0.000585375,"Byte count \x04"
"SMBus","v1frame",10.904213625,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",10.9048365,0.0006185,"Byte \0 ACK"
"SMBus","v1frame",10.905455,0.000631875,"Byte \x01 ACK"
"SMBus","v1frame",10.906086875,0.00060925,"Byte \xE0 ACK"
"SMBus","v1frame",10.906696125,0.00060525,"PEC v OK"
"SMBus","v1frame",10.907337125,0.0000505,""
"SMBus","v1frame",10.907517125,0.0000045,""
"SMBus","v1frame",10.907532625,0.000605375,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.908154875,0.000621375,"Command z"
"SMBus","v1frame",10.908873125,0.00063725,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",10.909510375,0.001222125,"Word @ ACK"
"SMBus","v1frame",10.9107325,0.00059125,"PEC \xA4 OK"
"SMBus","v1frame",10.9113595,0.00005075,""
"SMBus","v1frame",11.11169025,0.0000045,""
"SMBus","v1frame",11.11170575,0.00060525,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",11.112311,0.0006315,"Command \xA4"
"SMBus","v1frame",11.113038875,0.000637625,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",11.1136765,0.000585375,"Byte count \x04"
"SMBus","v1frame",11.114261875,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",11.11488475,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",11.115507625,0.00061425,"Byte \x02 ACK"
"SMBus","v1frame",11.116121875,0.00062325,"Byte > ACK"
"SMBus","v1frame",11.116745125,0.0006055,"PEC ] OK"
"SMBus","v1frame",11.117386375,0.0000505,""
"SMBus","v1frame",11.117565875,0.0000045,""
"SMBus","v1frame",11.117581375,0.0006055,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",11.118203625,0.0006215,"Command z"
"SMBus","v1frame",11.118922,0.000637125,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",11.119559125,0.001222125,"Word @ ACK"
"SMBus","v1frame",11.12078125,0.00059125,"PEC \xA4 OK"
"SMBus","v1frame",11.121408375,0.00005075,""
"SMBus","v1frame",11.321666875,0.0000045,""
"SMBus","v1frame",11.321682375,0.0006055,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",11.322287875,0.000631375,"Command \xA4"
"SMBus","v1frame",11.32301575,0.0006375,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",11.32365325,0.000585375,"Byte count \x04"
"SMBus","v1frame",11.324238625,0.000622875,"Byte \0 ACK"
"SMBus","v1frame",11.3248615,0.000618375,"Byte \0 ACK"
"SMBus","v1frame",11.325479875,0.000618625,"Byte \x02 ACK"
"SMBus","v1frame",11.3260985,0.000623375,"Byte G ACK"
"SMBus","v1frame",11.326721875,0.00060525,"PEC 5 OK"
"SMBus","v1frame",11.327362875,0.00005075,""
"SMBus","v1frame",11.327555,0.0000045,""
"SMBus","v1frame",11.3275705,0.0006055,"Write address \x0B ACK Protocol=Read word"
"SMBus","v1frame",11.32819275,0.0006215,"Command z"
"SMBus","v1frame",11.32891125,0.000637,"Read address \x0B ACK Protocol=Read word"
"SMBus","v1frame",11.32954825,0.001222,"Word @ ACK"
"SMBus","v1frame",11.33077025,0.0005915,"PEC \xA4 OK"
"SMBus","v1frame",11.3313975,0.00005075,""
"SMBus","v1frame",11.531685625,0.0000045,""
"SMBus","v1frame",11.531701125,0.000605375,"Write address \x0B ACK Protocol=Block write"
"SMBus","v1frame",11.5323065,0.0006315,"Command \xA4"
"SMBus","v1frame",11.53303425,0.000637625,"Read address \x0B ACK Protocol=Block write"
"SMBus","v1frame",11.533671875,0.0005855,"Byte count \x04"
"SMBus","v1frame",11.534257375,0.00062275,"Byte \0 ACK"
"SMBus","v1frame",11.534880125,0.000618375,"Byte \0 ACK"
"SMBus","v1frame",11.5354985,0.00061875,"Byte \x02 ACK"
